times, rtrain, rtest
17, 17.000000, -1.000000
31, 14.000000, 9.200000
47, 16.000000, -1.000000
65, 18.000000, 9.600000
83, 18.000000, -1.000000
113, 30.000000, 9.800000
142, 29.000000, -1.000000
168, 26.000000, 9.800000
186, 18.000000, -1.000000
209, 23.000000, 9.800000
228, 19.000000, -1.000000
238, 10.000000, 9.600000
263, 25.000000, -1.000000
276, 13.000000, 10.000000
292, 16.000000, -1.000000
305, 13.000000, 9.000000
319, 14.000000, -1.000000
329, 10.000000, 9.000000
340, 11.000000, -1.000000
353, 13.000000, 8.800000
361, 8.000000, -1.000000
370, 9.000000, 9.000000
382, 12.000000, -1.000000
393, 11.000000, 9.200000
403, 10.000000, -1.000000
412, 9.000000, 20.000000
429, 17.000000, -1.000000
547, 118.000000, 162.000000
747, 200.000000, -1.000000
864, 117.000000, 166.200000
1044, 180.000000, -1.000000
1207, 163.000000, 144.400000
1332, 125.000000, -1.000000
1460, 128.000000, 158.800000
1596, 136.000000, -1.000000
1787, 191.000000, 156.000000
1926, 139.000000, -1.000000
2042, 116.000000, 175.400000
2242, 200.000000, -1.000000
2400, 158.000000, 184.000000
2600, 200.000000, -1.000000
2800, 200.000000, 152.000000
2952, 152.000000, -1.000000
3130, 178.000000, 148.200000
3268, 138.000000, -1.000000
3414, 146.000000, 153.400000
3579, 165.000000, -1.000000
3707, 128.000000, 178.800000
3907, 200.000000, -1.000000
4079, 172.000000, 169.800000
4228, 149.000000, -1.000000
4428, 200.000000, 176.400000
4596, 168.000000, -1.000000
4765, 169.000000, 188.200000
4925, 160.000000, -1.000000
5125, 200.000000, 200.000000
5325, 200.000000, -1.000000
5520, 195.000000, 200.000000
5720, 200.000000, -1.000000
5920, 200.000000, 195.600000
6120, 200.000000, -1.000000
6320, 200.000000, 200.000000
6520, 200.000000, -1.000000
6720, 200.000000, 200.000000
6920, 200.000000, -1.000000
7120, 200.000000, 200.000000
7320, 200.000000, -1.000000
7520, 200.000000, 200.000000
7720, 200.000000, -1.000000
7920, 200.000000, 200.000000
8120, 200.000000, -1.000000
8320, 200.000000, 200.000000
8520, 200.000000, -1.000000
8720, 200.000000, 200.000000
8920, 200.000000, -1.000000
9120, 200.000000, 187.200000
9320, 200.000000, -1.000000
9520, 200.000000, 200.000000
9720, 200.000000, -1.000000
9920, 200.000000, 190.000000
10120, 200.000000, -1.000000
10300, 180.000000, 153.800000
10439, 139.000000, -1.000000
10626, 187.000000, 170.600000
10819, 193.000000, -1.000000
11019, 200.000000, 200.000000
11219, 200.000000, -1.000000
11419, 200.000000, 200.000000
11619, 200.000000, -1.000000
11819, 200.000000, 200.000000
12019, 200.000000, -1.000000
12219, 200.000000, 200.000000
12419, 200.000000, -1.000000
12619, 200.000000, 200.000000
12819, 200.000000, -1.000000
13019, 200.000000, 139.800000
13219, 200.000000, -1.000000
13419, 200.000000, 200.000000
13619, 200.000000, -1.000000
13773, 154.000000, 200.000000
13892, 119.000000, -1.000000
14092, 200.000000, 200.000000
14292, 200.000000, -1.000000
14492, 200.000000, 200.000000
14692, 200.000000, -1.000000
14892, 200.000000, 200.000000
15092, 200.000000, -1.000000
15292, 200.000000, 200.000000
15492, 200.000000, -1.000000
15692, 200.000000, 195.400000
15892, 200.000000, -1.000000
16092, 200.000000, 185.200000
16292, 200.000000, -1.000000
16456, 164.000000, 200.000000
16656, 200.000000, -1.000000
16856, 200.000000, 200.000000
17056, 200.000000, -1.000000
17256, 200.000000, 200.000000
17456, 200.000000, -1.000000
17656, 200.000000, 200.000000
17856, 200.000000, -1.000000
18056, 200.000000, 200.000000
18256, 200.000000, -1.000000
18371, 115.000000, 200.000000
18571, 200.000000, -1.000000
18771, 200.000000, 95.400000
18872, 101.000000, -1.000000
18983, 111.000000, 100.200000
19075, 92.000000, -1.000000
19192, 117.000000, 200.000000
19392, 200.000000, -1.000000
19592, 200.000000, 200.000000
19792, 200.000000, -1.000000
19992, 200.000000, 200.000000
20192, 200.000000, -1.000000
20392, 200.000000, 200.000000
20592, 200.000000, -1.000000
20792, 200.000000, 200.000000
20992, 200.000000, -1.000000
21192, 200.000000, 200.000000
21392, 200.000000, -1.000000
21592, 200.000000, 200.000000
21792, 200.000000, -1.000000
21992, 200.000000, 200.000000
22192, 200.000000, -1.000000
22392, 200.000000, 200.000000
22592, 200.000000, -1.000000
22792, 200.000000, 200.000000
22992, 200.000000, -1.000000
23192, 200.000000, 122.600000
23392, 200.000000, -1.000000
23592, 200.000000, 157.600000
23792, 200.000000, -1.000000
23992, 200.000000, 200.000000
24192, 200.000000, -1.000000
24392, 200.000000, 200.000000
24592, 200.000000, -1.000000
24792, 200.000000, 141.400000
24992, 200.000000, -1.000000
25192, 200.000000, 161.200000
25327, 135.000000, -1.000000
25527, 200.000000, 122.000000
25632, 105.000000, -1.000000
25832, 200.000000, 200.000000
26032, 200.000000, -1.000000
26232, 200.000000, 200.000000
26432, 200.000000, -1.000000
26632, 200.000000, 200.000000
26746, 114.000000, -1.000000
26946, 200.000000, 200.000000
27146, 200.000000, -1.000000
27346, 200.000000, 200.000000
27546, 200.000000, -1.000000
27746, 200.000000, 200.000000
27946, 200.000000, -1.000000
28146, 200.000000, 200.000000
28346, 200.000000, -1.000000
28546, 200.000000, 199.400000
28746, 200.000000, -1.000000
28946, 200.000000, 200.000000
29146, 200.000000, -1.000000
29346, 200.000000, 170.000000
29546, 200.000000, -1.000000
29746, 200.000000, 200.000000
29944, 198.000000, -1.000000
30144, 200.000000, 200.000000
30344, 200.000000, -1.000000
30544, 200.000000, 189.800000
30744, 200.000000, -1.000000
30944, 200.000000, 200.000000
31144, 200.000000, -1.000000
31344, 200.000000, 200.000000
31544, 200.000000, -1.000000
31744, 200.000000, 200.000000
31944, 200.000000, -1.000000
32144, 200.000000, 200.000000
32344, 200.000000, -1.000000
32544, 200.000000, 200.000000
32744, 200.000000, -1.000000
32944, 200.000000, 200.000000
33091, 147.000000, -1.000000
33291, 200.000000, 200.000000
33491, 200.000000, -1.000000
33691, 200.000000, 200.000000
33891, 200.000000, -1.000000
34091, 200.000000, 200.000000
34291, 200.000000, -1.000000
34439, 148.000000, 200.000000
34639, 200.000000, -1.000000
34839, 200.000000, 200.000000
35039, 200.000000, -1.000000
35143, 104.000000, 169.800000
35302, 159.000000, -1.000000
35502, 200.000000, 200.000000
35702, 200.000000, -1.000000
35902, 200.000000, 200.000000
36102, 200.000000, -1.000000
36302, 200.000000, 200.000000
36502, 200.000000, -1.000000
36702, 200.000000, 200.000000
36902, 200.000000, -1.000000
37102, 200.000000, 200.000000
37302, 200.000000, -1.000000
37502, 200.000000, 200.000000
37702, 200.000000, -1.000000
37902, 200.000000, 200.000000
38102, 200.000000, -1.000000
38302, 200.000000, 200.000000
38502, 200.000000, -1.000000
38702, 200.000000, 200.000000
38902, 200.000000, -1.000000
39102, 200.000000, 200.000000
39302, 200.000000, -1.000000
39502, 200.000000, 200.000000
39702, 200.000000, -1.000000
39873, 171.000000, 200.000000
40073, 200.000000, -1.000000
40273, 200.000000, 200.000000
40473, 200.000000, -1.000000
40673, 200.000000, 200.000000
40873, 200.000000, -1.000000
41073, 200.000000, 200.000000
41273, 200.000000, -1.000000
41473, 200.000000, 200.000000
41673, 200.000000, -1.000000
41753, 80.000000, 200.000000
41953, 200.000000, -1.000000
42153, 200.000000, 200.000000
42353, 200.000000, -1.000000
42553, 200.000000, 178.400000
